                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.0554,                 1.0226,                 1.1946,                0.87538,                0.71849,                0.77547,                0.59197,                0.92165,                0.66318,                 1.0271,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.0473,                 1.0153,                 1.1904,                0.86887,                0.72515,                 0.7763,                0.59338,                0.92152,                0.66283,                 1.0272,               0.006667,               0.006667,               0.006667
                    104,                 1.0594,                 1.0248,                 1.1924,                0.86802,                0.72562,                0.77669,                 0.5932,                0.92061,                0.66229,                 1.0268,               0.006634,               0.006634,               0.006634
                    105,                 1.0521,                  1.011,                 1.1902,                0.86722,                 0.7274,                0.77703,                0.59327,                0.92035,                0.66206,                 1.0268,               0.006601,               0.006601,               0.006601
                    106,                 1.0386,                 1.0016,                 1.1845,                0.86225,                0.72843,                 0.7771,                0.59411,                0.91976,                 0.6611,                 1.0266,               0.006568,               0.006568,               0.006568
                    107,                 1.0361,                0.99899,                 1.1887,                0.85922,                0.73109,                0.77741,                0.59495,                0.91928,                0.66027,                 1.0265,               0.006535,               0.006535,               0.006535
                    108,                 1.0432,                0.99952,                 1.1849,                0.86675,                0.72869,                0.77786,                 0.5948,                0.91897,                0.66021,                 1.0264,               0.006502,               0.006502,               0.006502
                    109,                   1.04,                0.99668,                 1.1873,                0.86749,                0.72917,                0.77815,                 0.5953,                0.91827,                0.65956,                  1.026,               0.006469,               0.006469,               0.006469
                    110,                 1.0346,                0.98765,                 1.1799,                0.87256,                0.72823,                0.77798,                0.59559,                0.91724,                0.65924,                 1.0254,               0.006436,               0.006436,               0.006436
                    111,                 1.0309,                0.98127,                 1.1775,                0.87434,                0.72858,                0.77813,                0.59558,                0.91699,                0.65867,                 1.0253,               0.006403,               0.006403,               0.006403
                    112,                 1.0161,                0.96173,                  1.172,                 0.8765,                0.72499,                0.77782,                0.59588,                0.91642,                0.65825,                 1.0252,                0.00637,                0.00637,                0.00637
                    113,                 1.0391,                0.99833,                 1.1874,                0.87385,                0.72656,                0.77795,                0.59654,                0.91661,                0.65795,                 1.0252,               0.006337,               0.006337,               0.006337
                    114,                 1.0453,                 1.0089,                 1.1907,                0.87758,                0.72701,                0.77907,                0.59637,                0.91676,                0.65717,                 1.0253,               0.006304,               0.006304,               0.006304
                    115,                 1.0449,                 1.0151,                 1.1933,                0.87997,                0.72559,                0.77915,                0.59685,                0.91663,                0.65722,                 1.0256,               0.006271,               0.006271,               0.006271
